Sample_ID,Replication,Row,Column,Absorbance,Concentration
adams-in_06012026,1,C,4,0.152,0.132509349
adams-in_06012026,2,C,5,0.159,0.145370634
adams-in_06012026,3,C,6,0.144,0.117810737
adams-in_06122026,1,D,4,0.129,0.09025084
adams-in_06122026,2,D,5,0.122,0.077389554
adams-in_06122026,3,D,6,0.127,0.086576187
adams-mid-down_06122026,1,E,4,0.214,0.246423591
adams-mid-down_06122026,2,E,5,0.217,0.251935571
adams-mid-down_06122026,3,E,6,0.212,0.242748938
adams-out_06012026,1,A,4,0.303,0.409945649
adams-out_06012026,2,A,5,0.305,0.413620302
adams-out_06012026,3,A,6,0.301,0.406270996
adams-out_06122026,1,B,4,0.08,0.000221842
adams-out_06122026,2,B,5,0.077,-0.005290138
adams-out_06122026,3,B,6,0.08,0.000221842
elm-bridge_05222026,1,H,4,1.563,2.724977024
elm-bridge_05222026,2,H,5,1.594,2.781934145
elm-bridge_05222026,3,H,6,1.594,2.781934145
elm-bridge_06012026,1,F,4,0.809,1.339632852
elm-bridge_06012026,2,F,5,0.816,1.352494137
elm-bridge_06012026,3,F,6,0.814,1.348819484
elm-bridge_06122026,1,G,4,2.03,3.583008493
elm-bridge_06122026,2,G,5,2.053,3.625267003
elm-bridge_06122026,3,G,6,2.05,3.619755023
elm-school_05222026,1,B,7,0.399,0.586328992
elm-school_05222026,2,B,8,0.392,0.573467706
elm-school_05222026,3,B,9,0.408,0.60286493
elm-school_06012026,1,A,7,1.974,3.48011821
elm-school_06012026,2,A,8,1.982,3.494816822
elm-school_06012026,3,A,9,1.973,3.478280884
elm-school_06122026,1,C,7,1.874,3.296385561
elm-school_06122026,2,C,8,1.961,3.456232966
elm-school_06122026,3,C,9,1.912,3.366203968
gcp_05282026,1,D,7,0.981,1.655653008
gcp_05282026,2,D,8,0.961,1.618906478
gcp_05282026,3,D,9,0.978,1.650141028
gcp_06122026,1,E,7,1.084,1.844897636
gcp_06122026,2,E,8,1.09,1.855921595
gcp_06122026,3,E,9,1.105,1.883481492
heron-map_06122026,1,H,7,2.382,4.229747417
heron-map_06122026,2,H,8,2.45,4.354685618
heron-map_06122026,3,H,9,2.477,4.404293433
heron-out_05282026,1,C,10,0.083,0.005733821
heron-out_05282026,2,C,11,0.083,0.005733821
heron-out_05282026,3,C,12,0.084,0.007571148
heron-out_06122026,1,G,7,0.353,0.501811973
heron-out_06122026,2,G,8,0.354,0.5036493
heron-out_06122026,3,G,9,0.356,0.507323953
heron-resi_05282026,1,B,10,2.468,4.387757495
heron-resi_05282026,2,B,11,2.438,4.3326377
heron-resi_05282026,3,B,12,2.405,4.272005926
heron-resi_06122026,1,A,10,2.441,4.33814968
heron-resi_06122026,2,A,11,2.405,4.272005926
heron-resi_06122026,3,A,12,2.392,4.248120682
Low STD 0,1,A,1,0.077,-0.005290138
Low STD 0,2,A,2,0.077,-0.005290138
Low STD 0,3,A,3,0.041,-0.071433891
Low STD 1,1,B,1,0.115,0.064528269
Low STD 1,2,B,2,0.106,0.047992331
Low STD 1,3,B,3,0.107,0.049829657
Low STD 2,1,C,1,0.132,0.095762819
Low STD 2,2,C,2,0.131,0.093925493
Low STD 2,3,C,3,0.133,0.097600146
Low STD 3,1,D,1,0.21,0.239074285
Low STD 3,2,D,2,0.194,0.209677062
Low STD 3,3,D,3,0.193,0.207839735
Low STD 4,1,E,1,0.304,0.411782975
Low STD 4,2,E,2,0.303,0.409945649
Low STD 4,3,E,3,0.3,0.404433669
Low STD 5,1,F,1,0.42,0.624912848
Low STD 5,2,F,2,0.423,0.630424827
Low STD 5,3,F,3,0.433,0.648798092
Low STD 6,1,G,1,0.489,0.751688375
Low STD 6,2,G,2,0.517,0.803133517
Low STD 6,3,G,3,0.483,0.740664417
Low STD 7,1,H,1,0.404,0.595515624
Low STD 7,2,H,2,0.415,0.615726215
Low STD 7,3,H,3,0.412,0.610214236
