"Sample_ID","Replication","Row","Column","Absorbance","Concentration"
"Low STD 0",1,"A",1,0.031,0.00345957488020733
"Low STD 0",2,"A",2,0.03,0.00239008822457834
"Low STD 0",3,"A",3,0.031,0.00345957488020733
"gcp_08052026",1,"A",4,0.038,0.0109459814696102
"gcp_08052026",2,"A",5,0.039,0.0120154681252392
"gcp_08052026",3,"A",6,0.039,0.0120154681252392
"heron-map_08052026",1,"A",7,0.048,0.0216408480259001
"heron-map_08052026",2,"A",8,0.049,0.0227103346815291
"heron-map_08052026",3,"A",9,0.049,0.0227103346815291
"Low STD 1",1,"B",1,0.075,0.0505169877278827
"Low STD 1",2,"B",2,0.077,0.0526559610391407
"Low STD 1",3,"B",3,0.073,0.0483780144166248
"elm-bridge_08052026",1,"B",4,0.063,0.0376831478603349
"elm-bridge_08052026",2,"B",5,0.063,0.0376831478603349
"elm-bridge_08052026",3,"B",6,0.063,0.0376831478603349
"heron-out_08052026",1,"B",7,0.052,0.025918794648416
"heron-out_08052026",2,"B",8,0.054,0.028057767959674
"heron-out_08052026",3,"B",9,0.052,0.025918794648416
"Low STD 2",1,"C",1,0.117,0.0954354272643002
"Low STD 2",2,"C",2,0.117,0.0954354272643002
"Low STD 2",3,"C",3,0.116,0.0943659406086712
"elm-school_08052026",1,"C",4,0.106,0.0836710740523813
"elm-school_08052026",2,"C",5,0.095,0.0719067208404625
"elm-school_08052026",3,"C",6,0.095,0.0719067208404625
"gcp_06212026",1,"C",7,0.037,0.00987649481398125
"Low STD 3",1,"D",1,0.211,0.195967172893425
"Low STD 3",2,"D",2,0.213,0.198106146204683
"Low STD 3",3,"D",3,0.213,0.198106146204683
"adams-in_08052026",1,"D",4,0.113,0.0911574806417842
"adams-in_08052026",2,"D",5,0.112,0.0900879939861552
"adams-in_08052026",3,"D",6,0.111,0.0890185073305263
"elm-bridge_06212026",1,"D",7,0.037,0.00987649481398125
"Low STD 4",1,"E",1,0.402,0.400239124118561
"Low STD 4",2,"E",2,0.407,0.405586557396706
"Low STD 4",3,"E",3,0.405,0.403447584085448
"adams-mid-up_08052026",1,"E",4,0.055,0.029127254615303
"adams-mid-up_08052026",2,"E",5,0.055,0.029127254615303
"adams-mid-up_08052026",3,"E",6,0.055,0.029127254615303
"elm-school_06212026",1,"E",7,0.036,0.00880700815835226
"Low STD 5",1,"F",1,0.592,0.603441588688069
"Low STD 5",2,"F",2,0.593,0.604511075343698
"Low STD 5",3,"F",3,0.594,0.605580561999327
"adams-mid-down_08052026",1,"F",4,0.059,0.0334052012378189
"adams-mid-down_08052026",2,"F",5,0.06,0.0344746878934479
"adams-mid-down_08052026",3,"F",6,0.055,0.029127254615303
"adams-in_06212026",1,"F",7,0.036,0.00880700815835226
"Low STD 6",1,"G",1,0.769,0.792740726734399
"Low STD 6",2,"G",2,0.773,0.797018673356915
"Low STD 6",3,"G",3,0.775,0.799157646668173
"adams-out_08052026",1,"G",4,0.065,0.0398221211715929
"adams-out_08052026",2,"G",5,0.066,0.0408916078272219
"adams-out_08052026",3,"G",6,0.065,0.0398221211715929
"adams-mid-up_06212026",1,"G",7,0.036,0.00880700815835226
"Low STD 7",1,"H",1,0.533,0.540341876005959
"Low STD 7",2,"H",2,0.539,0.546758795939732
"Low STD 7",3,"H",3,0.541,0.54889776925099
"heron-resi_08052026",1,"H",4,0.044,0.0173629014033842
"heron-resi_08052026",2,"H",5,0.045,0.0184323880590131
"heron-resi_08052026",3,"H",6,0.045,0.0184323880590131
"adams-mid-down_06212026",1,"H",7,0.036,0.00880700815835226
